C1	-147.473	545.268	296.16	96046a	0.0124	0.0110	0.0086	4.07985	1.17957	ae8d0a
C1	-148.051	543.8	297.106	76f5ad	0.0096	0.0065	0.0034	4.08538	0.437697	cc67e1
C1	-149.324	544.449	300.054	9a0663	0.0001	0.0000	0.0000	4.13193	0.157055	a05ef5
C1	-149.364	544.301	300.2	d77a24	0.0029	0.0022	0.0018	4.13291	0.146653	8a7901
C1	-157.943	540	285.709	7f007f	1.1138	0.9113	0.6710	53.6573	87.1097	714df3
C1	-177.648	540	287.575	7f007f	1.7330	1.3961	1.0251	56.316	78.4571	0a536a
C1	-46.6472	540	286.581	7f007f	0.2825	0.2280	0.1726	44.5118	3.65043	0a6f4f
C1	-27.5554	540	286.192	7f007f	0.4016	0.3230	0.2439	43.8044	97.0834	4745e1
C1	28.2587	540	285.83	7f007f	0.2147	0.1758	0.1316	43.7608	102.505	b338da
C1	-102.087	539.4	286.294	7f007f	0.5586	0.4542	0.3301	47.9739	85.5725	714df3
C1	-145.82	491.678	366.1	7f7f00	0.4977	0.4148	0.3089	62.0089	12.6092	80fb64
C1	9.04388	540	287.505	7f007f	0.2701	0.2164	0.1582	43.7191	103.883	ca55dd
C1	-9.76912	540	287.177	7f007f	0.3464	0.2451	0.1722	43.6691	104.403	364edb
C1	-68.0404	545.268	295.873	690955	0.2072	0.1691	0.1227	3.57326	0.177956	920180
C1	-71.2222	540.6	298.184	7ffe7f	0.0492	0.0375	0.0267	3.58208	0.835373	809afb
C1	-72.3381	542.237	298.994	bd1857	0.0651	0.0474	0.0336	3.60878	0.00684257	af60f1
C1	-71.4709	540.6	298.506	7ffe7f	0.0172	0.0128	0.0080	3.58721	0.506199	9490fb
C1	46.8623	540	287.161	7f007f	0.2125	0.1770	0.1363	44.6181	3.28878	f86a9f
C1	-123.625	542.142	289.592	960597	0.2516	0.1899	0.1367	3.80233	0.21085	0e63b1
C1	-126.697	539.619	297.5	7f7f00	0.5573	0.4534	0.3402	3.89761	0.389605	80fb64
C1	-269.093	422.707	-69	7f7ffe	3.8692	3.1996	2.2778	63.561	17.0667	6b0390
C1	-784.06	-0.1	1256.43	7ffe7f	0.6055	0.4890	0.3438	292.257	562.801	1fce65
C1	123.987	541.893	290.643	5b0fae	0.1542	0.1303	0.0999	3.81512	0.214428	a198f7
C1	124.109	541.892	290.978	6fed42	0.0062	0.0053	0.0042	3.81977	0.109357	275c2b
C1	124.575	543.718	291.961	7c0950	0.0008	0.0008	0.0006	3.84652	0.363366	369c1b
C1	125.032	541.304	291.308	6df655	0.0022	0.0021	0.0016	3.82631	0.0578057	106a45
C1	85.9187	542.283	289.803	5611b0	0.2813	0.1988	0.1426	3.56445	0.206967	a399f6
C1	85.9906	542.315	290.123	74e12f	0.0023	0.0018	0.0014	3.5689	0.0970493	275030
C1	86.1639	543.718	290.516	760b4b	0.0004	0.0003	0.0003	3.5847	0.283396	39a41c
C1	86.1202	542.227	289.572	74e635	0.0011	0.0010	0.0008	3.56236	0.096736	115f48
C1	102.125	539.4	285.358	7f007f	0.2013	0.1600	0.1184	47.8319	81.5451	8149f2
C1	146.611	490.874	366.1	7f7f00	0.3086	0.2487	0.1828	62.0507	13.4469	94fb6e
C1	157.804	540	285.862	7f007f	0.1167	0.1026	0.0795	53.6622	86.6939	9b4df0
C1	177.952	540	287.609	7f007f	0.1333	0.1108	0.0835	56.3589	75.2085	f95c74
C1	68.8333	545.268	295.154	810362	0.0551	0.0442	0.0314	3.56782	0.266799	850078
C1	70.6529	540.6	298.181	7ffe7f	0.0141	0.0099	0.0060	3.57951	0.838914	9490fb
C1	71.2456	540.6	298.713	7ffe7f	0.0312	0.0238	0.0167	3.58879	0.295423	839efa
C1	146.263	545.268	295.659	481a49	0.0603	0.0428	0.0287	4.06461	0.261348	4fbf1d
C1	88.8202	299.84	287.575	80fe80	0.0150	0.0135	0.0117	3.65885	0.3201	13bf69
C1	88.55	300.986	287.558	fe7f7f	0.0852	0.0558	0.0354	5.29622	1.15212	8c0182
C1	-85.4024	542.636	290.486	aa0991	0.1614	0.1003	0.0649	3.737	0.418912	144fb0
C1	-85.7949	539.92	297.5	7f7f00	0.2607	0.2171	0.1614	3.64019	0.0816559	80fb64
C1	-108.903	380	-115.496	7ffe7f	0.5560	0.2882	0.1794	16.6542	3.7473	d3a92a
C1	-110.932	394.046	-151.769	b57ff2	0.5043	0.3367	0.2005	5.88843	1.28511	73fb98
C1	-161.684	540	266.141	7f007f	1.4767	1.1760	0.8657	51.4931	88.8341	01727c
C1	-153.543	540	266.509	7f007f	0.8960	0.7159	0.5234	50.5351	3.58142	fd7371
C1	-174.552	540	279.207	7f007f	1.3021	1.0535	0.7829	54.8187	81.8144	0a536a
C1	-166.777	540	279.735	7f007f	1.5668	1.2780	0.9565	53.9123	84.6627	026c71
C1	-28.7662	540	266.403	7f007f	0.3369	0.2793	0.2088	40.5273	133.66	7a17c8
C1	-21.091	540	266.68	7f007f	0.3275	0.2640	0.1922	40.3837	113.741	4059e6
C1	-30.9561	540	278.9	7f007f	0.3205	0.2606	0.1916	42.665	109.874	3355dc
C1	-22.6419	540	278.842	7f007f	0.3590	0.2829	0.2101	42.4458	108.528	484fe7
C1	-149.243	540.6	270.389	7ffe7f	0.0022	0.0017	0.0012	3.79428	0.258734	f6a66d
C1	-149.625	541.406	270.8	720368	0.0041	0.0038	0.0030	3.80719	0.0930524	0873ab
C1	-150	540.86	270.876	fe7f7f	0.0067	0.0061	0.0047	3.80764	0.264475	92028d
